account_id,customer_id,branch_id,account_type,open_date,status
ACC000065,CUST01614,BR010,savings,2025-04-03,active
ACC000066,CUST00963,BR013,credit,2025-09-18,closed
ACC000067,CUST01908,BR012,chequing,2025-11-22,active
ACC000068,CUST00530,BR010,credit,2023-03-27,active
ACC000069,CUST01959,BR015,credit,2023-01-06,closed
ACC000070,CUST00946,BR014,credit,2023-10-25,active
ACC000071,CUST00164,BR008,savings,2025-04-27,active
ACC000072,CUST00215,BR013,chequing,2024-10-30,active
ACC000073,CUST01883,BR007,credit,2025-02-10,closed
ACC000074,CUST01119,BR007,credit,2024-05-24,active
ACC000075,CUST01192,BR007,credit,2025-06-20,active
ACC000076,CUST01038,BR007,credit,2024-10-01,active
ACC000077,CUST01776,BR002,savings,2024-11-27,active
ACC000078,CUST00643,BR013,credit,2023-04-11,active
ACC000079,CUST01257,BR003,credit,2024-01-05,active
ACC000080,CUST01408,BR013,savings,2025-01-09,active
ACC000081,CUST01903,BR007,credit,2023-04-02,active
ACC000082,CUST00145,BR008,chequing,2025-05-15,active
ACC000083,CUST00127,BR004,credit,2025-03-19,active
ACC000084,CUST00644,BR004,savings,2023-09-15,active
ACC000085,CUST01187,BR005,savings,2025-02-01,active
ACC000086,CUST00777,BR008,chequing,2023-04-11,active
ACC000087,CUST01344,BR011,credit,2024-09-08,active
ACC000088,CUST00612,BR009,credit,2024-05-27,active
ACC000089,CUST00601,BR015,savings,2025-02-07,active
ACC000090,CUST00562,BR013,credit,2025-06-09,active
ACC000091,CUST00841,BR001,savings,2025-06-11,active
ACC000092,CUST00030,BR014,savings,2024-10-06,active
ACC000093,CUST00746,BR008,savings,2024-11-27,active
ACC000094,CUST00060,BR010,savings,2024-09-23,active
ACC000095,CUST01976,BR004,chequing,2025-11-03,active
ACC000096,CUST00060,BR007,chequing,2024-05-11,closed
ACC000097,CUST00757,BR005,savings,2025-02-19,active
ACC000098,CUST01750,BR011,chequing,2025-05-07,active
ACC000099,CUST00593,BR001,chequing,2025-03-23,active
ACC000100,CUST01237,BR010,savings,2024-04-13,closed
ACC000101,CUST00019,BR012,credit,2025-05-21,active
ACC000102,CUST00383,BR002,chequing,2023-11-08,active
ACC000103,CUST01973,BR013,savings,2025-05-26,dormant
ACC000104,CUST00980,BR012,credit,2025-08-28,active
ACC000105,CUST00276,BR013,savings,2023-05-18,active
ACC000106,CUST00213,BR002,chequing,2024-07-29,active
ACC000107,CUST00205,BR002,savings,2025-10-27,active
ACC000108,CUST00515,BR009,credit,2025-03-06,dormant
ACC000109,CUST00013,BR013,credit,2023-01-31,active
ACC000110,CUST01206,BR009,savings,2025-09-12,active
ACC000111,CUST01145,BR003,chequing,2023-06-12,active
ACC000112,CUST01220,BR015,savings,2025-06-28,closed
ACC000113,CUST01838,BR001,savings,2025-07-02,active
ACC000114,CUST01472,BR007,savings,2023-12-03,active
ACC000115,CUST00871,BR002,chequing,2023-08-16,closed
ACC000116,CUST00110,BR004,credit,2024-05-29,active
ACC000117,CUST01556,BR015,savings,2024-12-01,active
ACC000118,CUST00709,BR012,credit,2025-03-01,closed
ACC000119,CUST01091,BR001,savings,2024-12-18,dormant
ACC000120,CUST01302,BR003,savings,2024-06-26,closed
ACC000121,CUST00359,BR005,chequing,2023-09-10,active
ACC000122,CUST01423,BR013,chequing,2025-10-28,active
ACC000123,CUST00519,BR006,savings,2023-04-07,active
ACC000124,CUST01935,BR007,savings,2024-09-17,active
ACC000125,CUST00585,BR011,savings,2024-11-24,active
ACC000126,CUST01782,BR004,chequing,2023-08-17,active
ACC000127,CUST00397,BR003,credit,2025-07-05,active
ACC000128,CUST01101,BR010,credit,2025-10-03,active
ACC000129,CUST01272,BR012,chequing,2025-07-12,active
ACC000130,CUST01585,BR007,chequing,2024-05-12,active
ACC000131,CUST01322,BR011,credit,2023-12-07,active
ACC000132,CUST00063,BR004,credit,2025-02-16,active
ACC000133,CUST01679,BR002,savings,2024-12-25,active
ACC000134,CUST01342,BR009,chequing,2023-05-18,active
ACC000135,CUST00793,BR004,chequing,2024-06-06,active
ACC000136,CUST01302,BR004,chequing,2025-03-02,active
ACC000137,CUST01624,BR004,savings,2025-10-27,active
ACC000138,CUST00547,BR010,chequing,2024-11-08,active
ACC000139,CUST01805,BR005,chequing,2023-03-15,closed
ACC000140,CUST01768,BR012,credit,2023-08-01,active
ACC000141,CUST01465,BR014,savings,2025-06-21,active
ACC000142,CUST00587,BR009,chequing,2025-05-20,active
ACC000143,CUST00353,BR005,savings,2024-06-04,closed
ACC000144,CUST01957,BR006,savings,2024-06-20,active
ACC000145,CUST01692,BR009,chequing,2025-12-31,closed
ACC000146,CUST01410,BR002,savings,2024-03-21,active
ACC000147,CUST01607,BR009,chequing,2023-02-01,active
ACC000148,CUST01334,BR013,credit,2024-10-18,active
ACC000149,CUST01221,BR002,chequing,2025-07-23,dormant
ACC000150,CUST01050,BR011,savings,2025-03-01,active
ACC000151,CUST01164,BR010,savings,2025-12-16,active
ACC000152,CUST00318,BR015,credit,2023-05-05,active
ACC000153,CUST00645,BR008,credit,2023-09-30,active
ACC000154,CUST00215,BR005,savings,2023-10-09,active
ACC000155,CUST00477,BR001,chequing,2025-02-19,active
ACC000156,CUST00359,BR005,chequing,2024-02-22,active
ACC000157,CUST01329,BR004,credit,2025-07-09,active
ACC000158,CUST00483,BR004,credit,2023-07-31,active
ACC000159,CUST00231,BR011,credit,2025-10-20,active
ACC000160,CUST01885,BR014,chequing,2024-03-06,dormant
ACC000161,CUST01059,BR014,credit,2023-04-12,active
ACC000162,CUST01141,BR015,chequing,2023-12-10,active
ACC000163,CUST00092,BR014,chequing,2023-01-31,active
ACC000164,CUST00360,BR015,chequing,2023-02-03,active
ACC000165,CUST01070,BR007,savings,2025-06-07,active
ACC000166,CUST00093,BR015,chequing,2025-11-06,active
ACC000167,CUST01223,BR011,credit,2025-09-11,active
ACC000168,CUST00250,BR001,credit,2023-06-21,active
ACC000169,CUST00388,BR006,savings,2023-07-10,active
ACC000170,CUST01879,BR012,chequing,2024-08-15,closed
ACC000171,CUST01331,BR004,credit,2023-06-24,active
ACC000172,CUST01547,BR001,savings,2024-07-19,active
ACC000173,CUST01539,BR013,credit,2023-10-11,active
ACC000174,CUST00634,BR007,credit,2024-10-09,active
ACC000175,CUST01619,BR002,chequing,2023-01-08,active
ACC000176,CUST01584,BR001,savings,2025-04-07,closed
ACC000177,CUST00008,BR006,savings,2024-11-05,dormant
ACC000178,CUST01205,BR007,savings,2023-06-02,active
ACC000179,CUST01850,BR012,chequing,2025-06-11,active
ACC000180,CUST01837,BR011,savings,2025-05-14,active
ACC000181,CUST00152,BR001,credit,2025-03-15,closed
ACC000182,CUST00613,BR014,chequing,2023-07-04,active
ACC000183,CUST01827,BR004,savings,2023-01-04,active
ACC000184,CUST01110,BR006,chequing,2025-03-27,active
ACC000185,CUST01890,BR015,credit,2024-07-04,active
ACC000186,CUST00962,BR001,credit,2023-01-31,active
ACC000187,CUST01151,BR013,chequing,2025-05-30,active
ACC000188,CUST00415,BR005,credit,2023-10-16,active
ACC000189,CUST01487,BR010,credit,2025-04-09,active
ACC000190,CUST01243,BR008,chequing,2025-12-17,active
ACC000191,CUST00888,BR009,credit,2025-12-01,closed
ACC000192,CUST01159,BR002,savings,2025-12-19,dormant
ACC000193,CUST01353,BR011,savings,2023-05-29,active
ACC000194,CUST00760,BR013,credit,2025-05-28,active
ACC000195,CUST00929,BR014,chequing,2025-07-19,closed
ACC000196,CUST00048,BR012,credit,2024-04-29,active
ACC000197,CUST01932,BR002,chequing,2025-06-02,closed
ACC000198,CUST01565,BR006,savings,2025-12-05,active
ACC000199,CUST01702,BR014,chequing,2025-02-17,active
ACC000200,CUST00162,BR009,chequing,2025-01-24,closed
ACC000201,CUST01927,BR002,savings,2025-01-09,active
ACC000202,CUST00644,BR002,savings,2025-09-23,active
ACC000203,CUST01447,BR002,credit,2023-10-10,active
ACC000204,CUST00789,BR010,chequing,2023-06-02,active
ACC000205,CUST01379,BR013,credit,2023-10-24,active
ACC000206,CUST01247,BR012,credit,2025-04-04,closed
ACC000207,CUST00893,BR005,chequing,2023-11-30,active
ACC000208,CUST01932,BR008,savings,2025-11-15,active
ACC000209,CUST00921,BR001,credit,2024-06-25,active
ACC000210,CUST00751,BR005,chequing,2023-08-04,active
ACC000211,CUST00710,BR011,savings,2025-02-02,active
ACC000212,CUST01711,BR001,savings,2025-06-10,active
ACC000213,CUST00259,BR001,credit,2023-10-17,active
ACC000214,CUST01782,BR006,savings,2023-01-01,active
ACC000215,CUST00037,BR012,chequing,2023-05-10,active
ACC000216,CUST00450,BR015,credit,2024-12-01,active
ACC000217,CUST01947,BR001,savings,2023-12-18,active
ACC000218,CUST00279,BR005,savings,2023-12-30,active
ACC000219,CUST01884,BR009,credit,2024-11-02,closed
ACC000220,CUST01814,BR013,savings,2023-01-11,active
ACC000221,CUST00995,BR009,credit,2025-11-24,active
ACC000222,CUST01411,BR005,credit,2025-07-15,active
ACC000223,CUST00280,BR007,chequing,2025-03-08,closed
ACC000224,CUST01111,BR015,savings,2023-01-13,active
ACC000225,CUST00121,BR013,savings,2023-05-01,active
ACC000226,CUST01177,BR006,chequing,2023-12-31,active
ACC000227,CUST01815,BR013,chequing,2023-06-26,active
ACC000228,CUST00876,BR002,credit,2023-03-31,active
ACC000229,CUST00466,BR014,savings,2023-04-20,active
ACC000230,CUST00279,BR004,chequing,2023-03-09,active
ACC000231,CUST01659,BR007,credit,2024-10-04,active
ACC000232,CUST00010,BR008,savings,2023-06-27,closed
ACC000233,CUST01176,BR013,savings,2024-11-01,active
ACC000234,CUST00465,BR013,credit,2023-10-16,active
ACC000235,CUST01069,BR008,savings,2024-03-12,closed
ACC000236,CUST00845,BR006,chequing,2024-06-10,active
ACC000237,CUST00968,BR013,chequing,2025-04-26,active
ACC000238,CUST00181,BR010,credit,2025-11-20,closed
ACC000239,CUST00972,BR004,savings,2023-06-19,active
ACC000240,CUST01579,BR012,chequing,2023-03-14,active
ACC000241,CUST00093,BR003,savings,2025-04-05,active
ACC000242,CUST00376,BR002,savings,2024-08-30,active
ACC000243,CUST01806,BR013,credit,2025-01-07,active
ACC000244,CUST01074,BR013,chequing,2024-11-21,closed
ACC000245,CUST00311,BR007,credit,2023-05-04,active
ACC000246,CUST00560,BR009,savings,2023-03-21,active
ACC000247,CUST00918,BR004,credit,2024-03-24,dormant
ACC000248,CUST00515,BR015,savings,2025-10-27,active
ACC000249,CUST00622,BR003,savings,2024-04-11,active
ACC000250,CUST01634,BR015,credit,2024-09-02,active
ACC000251,CUST00283,BR009,chequing,2024-11-08,active
ACC000252,CUST00913,BR014,savings,2024-07-20,active
ACC000253,CUST00806,BR006,savings,2024-11-18,active
ACC000254,CUST00746,BR007,chequing,2024-02-26,active
ACC000255,CUST01494,BR014,chequing,2023-03-11,active
ACC000256,CUST00683,BR015,savings,2023-08-08,active
ACC000257,CUST01289,BR012,savings,2023-02-26,active
ACC000258,CUST01229,BR002,chequing,2023-07-24,dormant
ACC000259,CUST00206,BR008,credit,2025-03-05,active
ACC000260,CUST01407,BR001,chequing,2024-11-03,active
ACC000261,CUST01443,BR008,credit,2025-03-07,active
ACC000262,CUST01440,BR003,chequing,2023-02-18,active
ACC000263,CUST01272,BR006,chequing,2024-10-07,active
ACC000264,CUST01910,BR005,credit,2023-06-20,active
ACC000265,CUST00002,BR015,chequing,2023-10-04,active
ACC000266,CUST01846,BR006,credit,2025-01-01,closed
ACC000267,CUST00122,BR001,chequing,2025-05-05,active
ACC000268,CUST01433,BR015,chequing,2023-06-11,active
ACC000269,CUST00691,BR004,credit,2024-01-10,closed
ACC000270,CUST00711,BR013,credit,2024-06-15,active
ACC000271,CUST01824,BR010,savings,2023-03-07,active
ACC000272,CUST00090,BR014,savings,2023-07-24,active
ACC000273,CUST01443,BR004,chequing,2025-08-07,active
ACC000274,CUST00102,BR015,savings,2025-01-19,active
ACC000275,CUST01871,BR004,credit,2023-05-15,active
ACC000276,CUST00805,BR005,credit,2024-03-18,dormant
ACC000277,CUST01583,BR012,chequing,2024-02-21,active
ACC000278,CUST01186,BR002,chequing,2024-07-22,active
ACC000279,CUST01921,BR001,chequing,2025-05-27,active
ACC000280,CUST01253,BR012,savings,2023-05-12,active
ACC000281,CUST00615,BR011,credit,2023-07-12,dormant
ACC000282,CUST01340,BR006,credit,2023-12-23,dormant
ACC000283,CUST00736,BR006,chequing,2025-02-04,active
ACC000284,CUST00698,BR003,chequing,2025-01-10,active
ACC000285,CUST00069,BR001,savings,2025-09-24,active
ACC000286,CUST01183,BR001,credit,2023-02-09,active
ACC000287,CUST00878,BR015,credit,2023-05-01,active
ACC000288,CUST00793,BR012,savings,2025-09-04,active
ACC000289,CUST01594,BR012,chequing,2025-09-07,active
ACC000290,CUST01423,BR011,chequing,2024-03-22,active
ACC000291,CUST01168,BR014,savings,2024-09-20,active
ACC000292,CUST01973,BR006,chequing,2023-02-12,active
ACC000293,CUST01006,BR008,savings,2023-11-18,active
ACC000294,CUST00017,BR004,chequing,2024-12-13,active
ACC000295,CUST00150,BR008,chequing,2025-02-16,active
ACC000296,CUST00267,BR015,savings,2024-01-12,active
ACC000297,CUST00941,BR009,savings,2024-01-12,active
ACC000298,CUST01286,BR003,credit,2023-11-03,active
ACC000299,CUST00454,BR005,savings,2023-07-15,active
ACC000300,CUST01510,BR013,chequing,2023-03-23,active
ACC000301,CUST01828,BR007,credit,2023-04-06,active
ACC000302,CUST00012,BR011,credit,2025-04-27,active
ACC000303,CUST00498,BR001,chequing,2023-08-27,active
ACC000304,CUST00805,BR008,chequing,2023-10-06,active
ACC000305,CUST00014,BR005,credit,2024-11-16,dormant
ACC000306,CUST01892,BR015,savings,2024-11-15,active
ACC000307,CUST01153,BR009,credit,2025-07-12,active
ACC000308,CUST01159,BR014,chequing,2023-06-29,active
ACC000309,CUST01510,BR010,savings,2024-09-30,active
ACC000310,CUST00096,BR004,chequing,2025-05-08,active
ACC000311,CUST01807,BR003,chequing,2023-10-17,active
ACC000312,CUST00725,BR009,chequing,2023-06-09,active
ACC000313,CUST00949,BR015,chequing,2023-09-16,active
ACC000314,CUST00912,BR002,chequing,2024-12-06,active
ACC000315,CUST00463,BR012,credit,2023-01-13,active
ACC000316,CUST00884,BR012,chequing,2023-07-22,active
ACC000317,CUST01246,BR012,credit,2023-12-17,active
ACC000318,CUST01858,BR015,credit,2023-09-12,active
ACC000319,CUST01864,BR008,credit,2023-01-09,active
ACC000320,CUST01159,BR002,savings,2023-08-06,active
ACC000321,CUST01031,BR007,chequing,2025-01-30,active
ACC000322,CUST01128,BR002,credit,2024-10-02,active
ACC000323,CUST00950,BR012,savings,2023-12-09,active
ACC000324,CUST00193,BR007,credit,2025-11-24,active
ACC000325,CUST00104,BR013,savings,2024-04-29,active
ACC000326,CUST01568,BR013,credit,2024-03-18,active
ACC000327,CUST00769,BR010,chequing,2025-11-07,closed
ACC000328,CUST00983,BR015,chequing,2025-11-08,active
ACC000329,CUST01970,BR015,savings,2023-04-20,active
ACC000330,CUST01053,BR003,chequing,2025-09-03,active
ACC000331,CUST00111,BR003,credit,2024-03-13,active
ACC000332,CUST01100,BR003,credit,2024-04-13,active
ACC000333,CUST01937,BR003,chequing,2024-05-31,active
ACC000334,CUST00571,BR008,savings,2024-03-08,active
ACC000335,CUST01894,BR012,credit,2023-08-13,active
ACC000336,CUST01995,BR006,credit,2024-02-06,active
ACC000337,CUST01379,BR003,credit,2023-01-27,active
ACC000338,CUST01299,BR004,chequing,2024-07-21,closed
ACC000339,CUST01426,BR003,chequing,2023-09-26,active
ACC000340,CUST00899,BR008,savings,2023-09-18,active
ACC000341,CUST00212,BR004,savings,2024-02-02,active
ACC000342,CUST01591,BR013,chequing,2025-10-27,active
ACC000343,CUST00688,BR015,chequing,2025-04-13,active
ACC000344,CUST00404,BR001,credit,2023-04-28,active
ACC000345,CUST01625,BR010,chequing,2025-06-20,active
ACC000346,CUST00729,BR007,credit,2023-07-16,active
ACC000347,CUST00460,BR003,chequing,2023-02-16,active
ACC000348,CUST01226,BR002,savings,2023-06-01,active
ACC000349,CUST00775,BR014,credit,2023-03-25,closed
ACC000350,CUST00326,BR010,credit,2025-12-23,active
ACC000351,CUST01934,BR013,chequing,2024-06-23,active
ACC000352,CUST01978,BR012,credit,2024-07-19,active
ACC000353,CUST00793,BR007,chequing,2023-11-05,active
ACC000354,CUST01642,BR014,chequing,2023-08-31,active
ACC000355,CUST00029,BR009,chequing,2025-01-21,active
ACC000356,CUST01813,BR006,savings,2025-03-16,active
ACC000357,CUST01543,BR015,chequing,2025-02-23,active
ACC000358,CUST00807,BR015,chequing,2023-06-22,active
ACC000359,CUST01647,BR007,savings,2025-01-10,active
ACC000360,CUST01191,BR005,savings,2024-09-07,active
ACC000361,CUST00904,BR007,savings,2024-02-07,active
ACC000362,CUST01239,BR013,chequing,2024-04-05,active
ACC000363,CUST00705,BR001,savings,2025-02-10,active
ACC000364,CUST00389,BR003,chequing,2025-02-28,active
ACC000365,CUST01807,BR014,chequing,2023-07-01,active
ACC000366,CUST00301,BR005,chequing,2025-04-21,active
ACC000367,CUST01884,BR014,credit,2024-12-04,closed
ACC000368,CUST01137,BR012,savings,2024-06-29,active
ACC000369,CUST00208,BR011,credit,2025-11-17,active
ACC000370,CUST01956,BR001,credit,2025-10-06,closed
ACC000371,CUST01217,BR011,credit,2023-07-20,active
ACC000372,CUST01906,BR007,chequing,2024-05-06,active
ACC000373,CUST01859,BR014,credit,2023-06-23,active
ACC000374,CUST01170,BR011,savings,2024-06-23,active
ACC000375,CUST01147,BR006,chequing,2023-10-02,active
ACC000376,CUST01972,BR005,savings,2024-01-18,closed
ACC000377,CUST01366,BR001,savings,2025-12-24,active
ACC000378,CUST00503,BR005,chequing,2023-03-13,active
ACC000379,CUST00494,BR002,chequing,2025-01-19,active
ACC000380,CUST01084,BR008,savings,2023-02-27,active
ACC000381,CUST01473,BR005,savings,2025-08-14,active
ACC000382,CUST00800,BR015,credit,2024-07-04,active
ACC000383,CUST01631,BR008,savings,2024-07-03,active
ACC000384,CUST01931,BR015,credit,2024-11-18,closed
ACC000385,CUST00739,BR004,savings,2025-01-29,active
ACC000386,CUST01756,BR005,savings,2025-03-02,closed
ACC000387,CUST01218,BR013,credit,2025-02-21,dormant
ACC000388,CUST00131,BR007,chequing,2024-07-28,active
ACC000389,CUST00363,BR006,savings,2025-01-27,active
ACC000390,CUST01429,BR015,chequing,2024-11-11,closed
ACC000391,CUST01919,BR010,savings,2025-11-06,active
ACC000392,CUST00700,BR003,savings,2023-10-20,active
ACC000393,CUST01926,BR006,credit,2025-02-19,active
ACC000394,CUST01730,BR008,chequing,2023-08-20,closed
ACC000395,CUST00491,BR001,savings,2024-07-19,active
ACC000396,CUST00754,BR013,credit,2023-09-01,active
ACC000397,CUST00789,BR002,savings,2023-04-18,dormant
ACC000398,CUST01954,BR005,credit,2024-02-05,active
ACC000399,CUST01838,BR003,savings,2023-08-27,active
ACC000400,CUST00649,BR015,savings,2024-03-13,active
ACC000401,CUST00115,BR008,credit,2025-04-25,active
ACC000402,CUST01578,BR008,chequing,2023-08-02,dormant
ACC000403,CUST01395,BR015,chequing,2023-03-03,active
ACC000404,CUST01406,BR012,chequing,2025-10-12,closed
ACC000405,CUST01684,BR006,chequing,2023-10-18,closed
ACC000406,CUST00163,BR006,credit,2025-07-03,active
ACC000407,CUST01910,BR009,savings,2024-10-13,active
ACC000408,CUST00743,BR014,credit,2024-07-26,active
ACC000409,CUST00361,BR007,credit,2025-08-01,active
ACC000410,CUST01729,BR011,credit,2025-10-17,active
ACC000411,CUST01019,BR004,credit,2023-12-02,closed
ACC000412,CUST01913,BR014,credit,2023-02-21,active
ACC000413,CUST00842,BR013,savings,2023-10-30,active
ACC000414,CUST00911,BR008,savings,2023-09-28,active
ACC000415,CUST00820,BR011,savings,2025-04-12,active
ACC000416,CUST00959,BR001,chequing,2024-07-24,closed
ACC000417,CUST01323,BR014,chequing,2025-01-01,active
ACC000418,CUST01667,BR008,credit,2023-05-09,active
ACC000419,CUST01918,BR006,savings,2025-11-29,active
ACC000420,CUST00094,BR001,chequing,2023-11-08,active
ACC000421,CUST01398,BR003,credit,2023-09-20,active
ACC000422,CUST00382,BR006,savings,2024-02-04,active
ACC000423,CUST00055,BR010,savings,2024-04-09,dormant
ACC000424,CUST01418,BR013,chequing,2024-03-21,active
ACC000425,CUST01084,BR013,credit,2023-06-27,active
ACC000426,CUST00337,BR015,chequing,2024-02-11,active
ACC000427,CUST00775,BR010,savings,2024-12-19,active
ACC000428,CUST01062,BR013,savings,2023-12-27,closed
ACC000429,CUST00055,BR010,credit,2024-01-17,active
ACC000430,CUST01293,BR014,savings,2024-05-19,active
ACC000431,CUST01473,BR006,credit,2024-12-22,active
ACC000432,CUST01761,BR011,credit,2024-03-12,closed
ACC000433,CUST00304,BR003,chequing,2025-06-25,active
ACC000434,CUST01262,BR004,credit,2023-12-23,active
ACC000435,CUST00745,BR014,savings,2024-03-30,active
ACC000436,CUST00462,BR003,chequing,2025-05-16,active
ACC000437,CUST01039,BR006,chequing,2025-08-19,active
ACC000438,CUST01859,BR001,credit,2025-07-29,active
ACC000439,CUST00384,BR007,credit,2025-10-16,active
ACC000440,CUST00248,BR013,credit,2023-11-21,active
ACC000441,CUST00410,BR007,chequing,2023-07-22,active
ACC000442,CUST00256,BR003,savings,2023-07-24,active
ACC000443,CUST01732,BR014,credit,2024-03-31,closed
ACC000444,CUST01144,BR011,credit,2024-01-10,active
ACC000445,CUST01974,BR014,savings,2025-06-09,closed
ACC000446,CUST01561,BR005,credit,2024-06-12,active
ACC000447,CUST00980,BR004,savings,2025-06-25,active
ACC000448,CUST00269,BR003,chequing,2024-03-19,dormant
ACC000449,CUST00313,BR003,chequing,2025-11-07,active
ACC000450,CUST00218,BR013,credit,2024-08-21,active
ACC000451,CUST00316,BR006,credit,2023-11-12,active
ACC000452,CUST01362,BR011,credit,2024-01-13,active
ACC000453,CUST01963,BR006,savings,2023-04-28,active
ACC000454,CUST01682,BR015,credit,2024-11-22,active
ACC000455,CUST01344,BR001,savings,2024-05-11,active
ACC000456,CUST01302,BR013,credit,2025-09-07,closed
ACC000457,CUST00502,BR002,credit,2023-08-23,active
ACC000458,CUST00557,BR007,credit,2025-10-04,active
ACC000459,CUST01696,BR004,chequing,2025-09-21,active
ACC000460,CUST00470,BR014,credit,2024-09-16,active
ACC000461,CUST01338,BR009,savings,2023-11-01,active
ACC000462,CUST01352,BR002,chequing,2025-02-28,active
ACC000463,CUST01354,BR001,credit,2024-08-10,active
ACC000464,CUST00470,BR010,credit,2025-08-27,active
ACC000465,CUST00791,BR002,savings,2024-07-20,active
ACC000466,CUST00093,BR006,savings,2024-05-29,active
ACC000467,CUST01637,BR003,credit,2023-05-18,active
ACC000468,CUST00877,BR012,savings,2023-05-28,active
ACC000469,CUST01570,BR015,credit,2024-12-01,active
ACC000470,CUST00557,BR001,credit,2023-07-07,active
ACC000471,CUST00770,BR010,chequing,2024-10-19,active
ACC000472,CUST01018,BR006,chequing,2023-05-04,active
ACC000473,CUST00002,BR013,chequing,2023-02-07,active
ACC000474,CUST00891,BR003,credit,2023-01-31,active
ACC000475,CUST01776,BR011,savings,2023-07-16,active
ACC000476,CUST01356,BR002,chequing,2024-09-21,active
ACC000477,CUST00414,BR010,chequing,2025-05-30,closed
ACC000478,CUST01271,BR007,savings,2025-12-25,active
ACC000479,CUST00930,BR007,chequing,2025-12-07,active
ACC000480,CUST00152,BR003,savings,2025-10-01,closed
ACC000481,CUST00474,BR002,credit,2024-01-15,active
ACC000482,CUST01336,BR007,credit,2023-02-27,active
ACC000483,CUST00695,BR012,credit,2025-12-22,active
ACC000484,CUST00974,BR011,credit,2025-05-10,active
ACC000485,CUST01722,BR011,chequing,2024-09-24,active
ACC000486,CUST01235,BR002,credit,2025-02-21,active
ACC000487,CUST00386,BR001,credit,2024-11-16,active
ACC000488,CUST00256,BR003,chequing,2023-11-21,active
