transaction_id,account_id,branch_id,product_id,txn_date,amount,transaction_type,channel,is_fraud_flag
TXN00021052,ACC913492,BR012,PRD005,2025-06-10,44.26,payment,atm,False
TXN00021186,ACC901595,BR005,PRD006,2025-02-03,-31.58,withdrawal,atm,False
TXN00022122,ACC993890,BR014,PRD005,2023-02-08,-2.75,deposit,atm,False
TXN00023032,ACC912906,BR003,PRD001,2025-08-23,57.13,withdrawal,mobile,False
TXN00023216,ACC929446,BR002,PRD005,2024-11-22,-84.31,withdrawal,atm,False
TXN00023265,ACC961564,BR002,PRD005,2025-11-21,245.99,transfer,branch,False
TXN00023597,ACC924883,BR006,PRD002,2023-10-09,1.05,withdrawal,online,False
TXN00023869,ACC994156,BR011,PRD008,2025-12-12,17.17,transfer,mobile,False
TXN00024581,ACC946947,BR008,PRD004,2024-11-13,126.23,transfer,mobile,False
TXN00024975,ACC962859,BR003,PRD006,2024-08-31,393.05,deposit,branch,False
TXN00025224,ACC965194,BR014,PRD001,2024-05-11,298.92,payment,online,False
TXN00025794,ACC983272,BR011,PRD002,2024-09-12,195.48,withdrawal,online,False
TXN00025827,ACC974122,BR008,PRD002,2023-11-24,44.79,deposit,branch,False
TXN00027171,ACC996126,BR007,PRD007,2025-02-08,111.86,withdrawal,online,False
TXN00027917,ACC999258,BR012,PRD005,2025-07-26,-151.62,transfer,branch,False
TXN00028804,ACC933198,BR015,PRD004,2023-02-19,246.22,transfer,branch,False
TXN00029040,ACC965283,BR007,PRD001,2023-04-02,136.67,withdrawal,online,False
TXN00029090,ACC990376,BR004,PRD001,2025-12-09,112.47,deposit,online,False
TXN00029201,ACC948389,BR002,PRD007,2025-03-22,207.11,deposit,mobile,False
TXN00030094,ACC944231,BR003,PRD002,2024-11-02,198.14,deposit,branch,False
TXN00030135,ACC912589,BR013,PRD003,2023-09-11,449.35,withdrawal,atm,False
TXN00030524,ACC925992,BR001,PRD003,2023-08-05,-156.48,withdrawal,branch,False
TXN00030752,ACC979469,BR008,PRD005,2024-04-16,76.97,transfer,mobile,False
TXN00030969,ACC952107,BR011,PRD002,2023-09-30,28.26,transfer,mobile,False
TXN00031140,ACC901591,BR014,PRD004,2024-11-19,-205.63,deposit,atm,False
TXN00031229,ACC948809,BR010,PRD001,2023-08-31,-497.72,withdrawal,branch,False
TXN00031381,ACC919704,BR011,PRD006,2025-03-13,314.62,deposit,branch,False
TXN00031595,ACC953063,BR013,PRD002,2024-01-16,-358.7,deposit,atm,False
TXN00031597,ACC925030,BR007,PRD003,2023-07-19,16.27,payment,branch,False
TXN00032314,ACC984686,BR012,PRD007,2023-03-08,418.59,withdrawal,atm,False
TXN00032339,ACC920432,BR003,PRD003,2025-02-08,114.06,payment,online,False
TXN00033518,ACC997239,BR011,PRD005,2023-07-18,-74.17,deposit,mobile,False
TXN00033523,ACC954645,BR015,PRD005,2024-09-30,94.4,payment,atm,False
TXN00033664,ACC984666,BR011,PRD008,2023-04-19,426.38,deposit,atm,False
TXN00034084,ACC952379,BR007,PRD006,2023-01-20,389.72,deposit,branch,False
TXN00034095,ACC944502,BR010,PRD007,2024-12-08,349.43,withdrawal,mobile,False
TXN00034178,ACC970812,BR008,PRD008,2024-04-08,-46.62,deposit,mobile,False
TXN00034923,ACC969499,BR006,PRD002,2025-10-12,206.41,withdrawal,online,False
TXN00035048,ACC923549,BR002,PRD008,2023-03-13,11.39,payment,atm,False
TXN00035231,ACC960982,BR002,PRD006,2025-07-12,148.12,transfer,online,False
TXN00035265,ACC920470,BR014,PRD006,2025-03-01,102.14,withdrawal,mobile,False
TXN00035452,ACC976212,BR015,PRD006,2023-01-30,-228.61,payment,online,False
TXN00036016,ACC975293,BR001,PRD003,2024-09-24,59.71,withdrawal,atm,False
TXN00036405,ACC992228,BR002,PRD002,2023-07-05,29.3,withdrawal,online,False
TXN00037248,ACC937248,BR012,PRD004,2023-07-09,162.03,payment,branch,False
TXN00037981,ACC977973,BR004,PRD007,2025-08-17,93.81,deposit,mobile,False
TXN00039175,ACC921280,BR013,PRD008,2024-03-31,119.43,transfer,mobile,False
TXN00039417,ACC916843,BR015,PRD001,2025-07-23,51.33,withdrawal,branch,False
TXN00040541,ACC938121,BR002,PRD001,2025-01-04,139.48,transfer,branch,False
TXN00040768,ACC941007,BR008,PRD003,2023-05-10,317.52,transfer,mobile,False
TXN00040774,ACC999597,BR003,PRD003,2025-04-19,16.6,transfer,mobile,False
TXN00040814,ACC977585,BR007,PRD008,2024-10-28,52.58,withdrawal,atm,False
TXN00042077,ACC954042,BR007,PRD004,2025-08-14,205.07,transfer,branch,False
TXN00042110,ACC901960,BR010,PRD001,2025-07-21,50.22,deposit,atm,False
TXN00042469,ACC981682,BR006,PRD001,2025-09-22,358.39,deposit,atm,False
TXN00042741,ACC972838,BR001,PRD008,2025-01-21,185.67,payment,online,False
TXN00042913,ACC923252,BR006,PRD008,2024-01-12,-320.0,withdrawal,online,False
TXN00043433,ACC963637,BR002,PRD008,2024-06-23,176.96,withdrawal,online,False
TXN00044048,ACC941367,BR010,PRD003,2023-03-03,21.81,deposit,branch,False
TXN00044083,ACC947628,BR010,PRD008,2023-06-29,104.8,deposit,branch,False
TXN00044747,ACC940908,BR002,PRD008,2025-10-20,62.53,transfer,online,False
TXN00045215,ACC997121,BR001,PRD006,2023-02-13,72.3,deposit,branch,False
TXN00045665,ACC975517,BR003,PRD001,2025-06-01,51.67,transfer,mobile,False
TXN00046914,ACC986975,BR011,PRD005,2025-07-13,121.23,deposit,online,False
TXN00047975,ACC925805,BR006,PRD006,2024-07-27,575.61,withdrawal,mobile,False
TXN00048596,ACC927630,BR003,PRD005,2025-10-26,250.24,withdrawal,mobile,False
TXN00048985,ACC958729,BR004,PRD008,2025-02-02,180.71,transfer,online,False
TXN00049211,ACC973418,BR011,PRD005,2024-05-13,62.58,transfer,online,False
TXN00049401,ACC963252,BR004,PRD003,2025-02-21,145.68,payment,branch,False
TXN00049481,ACC942032,BR010,PRD001,2024-04-09,332.11,payment,online,False
TXN00049612,ACC920525,BR006,PRD005,2024-05-15,591.55,withdrawal,branch,False
TXN00050017,ACC914260,BR005,PRD004,2023-07-29,70.26,withdrawal,atm,False
TXN00050946,ACC920956,BR014,PRD007,2023-03-14,8.14,transfer,atm,False
TXN00051447,ACC991855,BR007,PRD006,2023-11-02,118.02,withdrawal,atm,False
TXN00052216,ACC982818,BR004,PRD004,2025-06-27,261.1,withdrawal,mobile,False
TXN00052768,ACC978865,BR002,PRD002,2024-03-29,129.42,payment,branch,False
TXN00053075,ACC963322,BR012,PRD005,2023-06-16,93.0,deposit,branch,False
TXN00053556,ACC925082,BR005,PRD002,2024-10-01,104.08,deposit,online,False
TXN00055273,ACC977863,BR009,PRD006,2023-03-26,30.55,withdrawal,online,False
TXN00055472,ACC962253,BR011,PRD006,2023-11-04,-113.38,payment,online,False
TXN00055650,ACC907935,BR006,PRD006,2023-09-28,8.79,withdrawal,atm,False
TXN00055770,ACC921722,BR009,PRD001,2024-09-19,562.52,transfer,online,False
TXN00056078,ACC914067,BR014,PRD004,2024-05-10,31.73,deposit,mobile,False
TXN00057171,ACC995809,BR002,PRD006,2024-08-18,69.77,transfer,atm,False
TXN00058230,ACC905885,BR006,PRD001,2023-08-31,23.36,payment,atm,False
TXN00058238,ACC908165,BR005,PRD001,2024-08-10,403.98,payment,online,False
TXN00058416,ACC940807,BR014,PRD007,2025-06-23,286.86,payment,branch,False
TXN00058852,ACC968633,BR006,PRD006,2023-03-03,93.01,transfer,online,False
