account_sk,account_id,customer_id,branch_id,account_type,open_date,status
79,ACC000079,CUST01257,BR003,credit,2024-01-05,active
80,ACC000080,CUST01408,BR013,savings,2025-01-09,active
81,ACC000081,CUST01903,BR007,credit,2023-04-02,active
82,ACC000082,CUST00145,BR008,chequing,2025-05-15,active
83,ACC000083,CUST00127,BR004,credit,2025-03-19,active
84,ACC000084,CUST00644,BR004,savings,2023-09-15,active
85,ACC000085,CUST01187,BR005,savings,2025-02-01,active
86,ACC000086,CUST00777,BR008,chequing,2023-04-11,active
87,ACC000087,CUST01344,BR011,credit,2024-09-08,active
88,ACC000088,CUST00612,BR009,credit,2024-05-27,active
89,ACC000089,CUST00601,BR015,savings,2025-02-07,active
90,ACC000090,CUST00562,BR013,credit,2025-06-09,active
91,ACC000091,CUST00841,BR001,savings,2025-06-11,active
92,ACC000092,CUST00030,BR014,savings,2024-10-06,active
93,ACC000093,CUST00746,BR008,savings,2024-11-27,active
94,ACC000094,CUST00060,BR010,savings,2024-09-23,active
95,ACC000095,CUST01976,BR004,chequing,2025-11-03,active
96,ACC000096,CUST00060,BR007,chequing,2024-05-11,closed
97,ACC000097,CUST00757,BR005,savings,2025-02-19,active
98,ACC000098,CUST01750,BR011,chequing,2025-05-07,active
99,ACC000099,CUST00593,BR001,chequing,2025-03-23,active
100,ACC000100,CUST01237,BR010,savings,2024-04-13,closed
101,ACC000101,CUST00019,BR012,credit,2025-05-21,active
102,ACC000102,CUST00383,BR002,chequing,2023-11-08,active
103,ACC000103,CUST01973,BR013,savings,2025-05-26,dormant
104,ACC000104,CUST00980,BR012,credit,2025-08-28,active
105,ACC000105,CUST00276,BR013,savings,2023-05-18,active
106,ACC000106,CUST00213,BR002,chequing,2024-07-29,active
107,ACC000107,CUST00205,BR002,savings,2025-10-27,active
108,ACC000108,CUST00515,BR009,credit,2025-03-06,dormant
109,ACC000109,CUST00013,BR013,credit,2023-01-31,active
110,ACC000110,CUST01206,BR009,savings,2025-09-12,active
111,ACC000111,CUST01145,BR003,chequing,2023-06-12,active
112,ACC000112,CUST01220,BR015,savings,2025-06-28,closed
113,ACC000113,CUST01838,BR001,savings,2025-07-02,active
114,ACC000114,CUST01472,BR007,savings,2023-12-03,active
115,ACC000115,CUST00871,BR002,chequing,2023-08-16,closed
116,ACC000116,CUST00110,BR004,credit,2024-05-29,active
117,ACC000117,CUST01556,BR015,savings,2024-12-01,active
118,ACC000118,CUST00709,BR012,credit,2025-03-01,closed
119,ACC000119,CUST01091,BR001,savings,2024-12-18,dormant
120,ACC000120,CUST01302,BR003,savings,2024-06-26,closed
121,ACC000121,CUST00359,BR005,chequing,2023-09-10,active
122,ACC000122,CUST01423,BR013,chequing,2025-10-28,active
123,ACC000123,CUST00519,BR006,savings,2023-04-07,active
124,ACC000124,CUST01935,BR007,savings,2024-09-17,active
125,ACC000125,CUST00585,BR011,savings,2024-11-24,active
126,ACC000126,CUST01782,BR004,chequing,2023-08-17,active
127,ACC000127,CUST00397,BR003,credit,2025-07-05,active
128,ACC000128,CUST01101,BR010,credit,2025-10-03,active
129,ACC000129,CUST01272,BR012,chequing,2025-07-12,active
130,ACC000130,CUST01585,BR007,chequing,2024-05-12,active
131,ACC000131,CUST01322,BR011,credit,2023-12-07,active
132,ACC000132,CUST00063,BR004,credit,2025-02-16,active
133,ACC000133,CUST01679,BR002,savings,2024-12-25,active
134,ACC000134,CUST01342,BR009,chequing,2023-05-18,active
135,ACC000135,CUST00793,BR004,chequing,2024-06-06,active
136,ACC000136,CUST01302,BR004,chequing,2025-03-02,active
137,ACC000137,CUST01624,BR004,savings,2025-10-27,active
138,ACC000138,CUST00547,BR010,chequing,2024-11-08,active
139,ACC000139,CUST01805,BR005,chequing,2023-03-15,closed
140,ACC000140,CUST01768,BR012,credit,2023-08-01,active
141,ACC000141,CUST01465,BR014,savings,2025-06-21,active
142,ACC000142,CUST00587,BR009,chequing,2025-05-20,active
143,ACC000143,CUST00353,BR005,savings,2024-06-04,closed
144,ACC000144,CUST01957,BR006,savings,2024-06-20,active
145,ACC000145,CUST01692,BR009,chequing,2025-12-31,closed
146,ACC000146,CUST01410,BR002,savings,2024-03-21,active
147,ACC000147,CUST01607,BR009,chequing,2023-02-01,active
148,ACC000148,CUST01334,BR013,credit,2024-10-18,active
149,ACC000149,CUST01221,BR002,chequing,2025-07-23,dormant
150,ACC000150,CUST01050,BR011,savings,2025-03-01,active
151,ACC000151,CUST01164,BR010,savings,2025-12-16,active
152,ACC000152,CUST00318,BR015,credit,2023-05-05,active
153,ACC000153,CUST00645,BR008,credit,2023-09-30,active
154,ACC000154,CUST00215,BR005,savings,2023-10-09,active
155,ACC000155,CUST00477,BR001,chequing,2025-02-19,active
156,ACC000156,CUST00359,BR005,chequing,2024-02-22,active
157,ACC000157,CUST01329,BR004,credit,2025-07-09,active
158,ACC000158,CUST00483,BR004,credit,2023-07-31,active
159,ACC000159,CUST00231,BR011,credit,2025-10-20,active
160,ACC000160,CUST01885,BR014,chequing,2024-03-06,dormant
161,ACC000161,CUST01059,BR014,credit,2023-04-12,active
162,ACC000162,CUST01141,BR015,chequing,2023-12-10,active
163,ACC000163,CUST00092,BR014,chequing,2023-01-31,active
164,ACC000164,CUST00360,BR015,chequing,2023-02-03,active
165,ACC000165,CUST01070,BR007,savings,2025-06-07,active
166,ACC000166,CUST00093,BR015,chequing,2025-11-06,active
167,ACC000167,CUST01223,BR011,credit,2025-09-11,active
168,ACC000168,CUST00250,BR001,credit,2023-06-21,active
169,ACC000169,CUST00388,BR006,savings,2023-07-10,active
170,ACC000170,CUST01879,BR012,chequing,2024-08-15,closed
171,ACC000171,CUST01331,BR004,credit,2023-06-24,active
172,ACC000172,CUST01547,BR001,savings,2024-07-19,active
173,ACC000173,CUST01539,BR013,credit,2023-10-11,active
174,ACC000174,CUST00634,BR007,credit,2024-10-09,active
175,ACC000175,CUST01619,BR002,chequing,2023-01-08,active
176,ACC000176,CUST01584,BR001,savings,2025-04-07,closed
177,ACC000177,CUST00008,BR006,savings,2024-11-05,dormant
178,ACC000178,CUST01205,BR007,savings,2023-06-02,active
179,ACC000179,CUST01850,BR012,chequing,2025-06-11,active
180,ACC000180,CUST01837,BR011,savings,2025-05-14,active
181,ACC000181,CUST00152,BR001,credit,2025-03-15,closed
182,ACC000182,CUST00613,BR014,chequing,2023-07-04,active
183,ACC000183,CUST01827,BR004,savings,2023-01-04,active
184,ACC000184,CUST01110,BR006,chequing,2025-03-27,active
185,ACC000185,CUST01890,BR015,credit,2024-07-04,active
186,ACC000186,CUST00962,BR001,credit,2023-01-31,active
187,ACC000187,CUST01151,BR013,chequing,2025-05-30,active
188,ACC000188,CUST00415,BR005,credit,2023-10-16,active
189,ACC000189,CUST01487,BR010,credit,2025-04-09,active
190,ACC000190,CUST01243,BR008,chequing,2025-12-17,active
191,ACC000191,CUST00888,BR009,credit,2025-12-01,closed
192,ACC000192,CUST01159,BR002,savings,2025-12-19,dormant
193,ACC000193,CUST01353,BR011,savings,2023-05-29,active
194,ACC000194,CUST00760,BR013,credit,2025-05-28,active
195,ACC000195,CUST00929,BR014,chequing,2025-07-19,closed
196,ACC000196,CUST00048,BR012,credit,2024-04-29,active
197,ACC000197,CUST01932,BR002,chequing,2025-06-02,closed
198,ACC000198,CUST01565,BR006,savings,2025-12-05,active
199,ACC000199,CUST01702,BR014,chequing,2025-02-17,active
200,ACC000200,CUST00162,BR009,chequing,2025-01-24,closed
201,ACC000201,CUST01927,BR002,savings,2025-01-09,active
202,ACC000202,CUST00644,BR002,savings,2025-09-23,active
203,ACC000203,CUST01447,BR002,credit,2023-10-10,active
204,ACC000204,CUST00789,BR010,chequing,2023-06-02,active
205,ACC000205,CUST01379,BR013,credit,2023-10-24,active
206,ACC000206,CUST01247,BR012,credit,2025-04-04,closed
207,ACC000207,CUST00893,BR005,chequing,2023-11-30,active
208,ACC000208,CUST01932,BR008,savings,2025-11-15,active
209,ACC000209,CUST00921,BR001,credit,2024-06-25,active
210,ACC000210,CUST00751,BR005,chequing,2023-08-04,active
211,ACC000211,CUST00710,BR011,savings,2025-02-02,active
212,ACC000212,CUST01711,BR001,savings,2025-06-10,active
213,ACC000213,CUST00259,BR001,credit,2023-10-17,active
214,ACC000214,CUST01782,BR006,savings,2023-01-01,active
215,ACC000215,CUST00037,BR012,chequing,2023-05-10,active
216,ACC000216,CUST00450,BR015,credit,2024-12-01,active
217,ACC000217,CUST01947,BR001,savings,2023-12-18,active
218,ACC000218,CUST00279,BR005,savings,2023-12-30,active
219,ACC000219,CUST01884,BR009,credit,2024-11-02,closed
220,ACC000220,CUST01814,BR013,savings,2023-01-11,active
221,ACC000221,CUST00995,BR009,credit,2025-11-24,active
222,ACC000222,CUST01411,BR005,credit,2025-07-15,active
223,ACC000223,CUST00280,BR007,chequing,2025-03-08,closed
224,ACC000224,CUST01111,BR015,savings,2023-01-13,active
225,ACC000225,CUST00121,BR013,savings,2023-05-01,active
226,ACC000226,CUST01177,BR006,chequing,2023-12-31,active
227,ACC000227,CUST01815,BR013,chequing,2023-06-26,active
228,ACC000228,CUST00876,BR002,credit,2023-03-31,active
229,ACC000229,CUST00466,BR014,savings,2023-04-20,active
230,ACC000230,CUST00279,BR004,chequing,2023-03-09,active
231,ACC000231,CUST01659,BR007,credit,2024-10-04,active
232,ACC000232,CUST00010,BR008,savings,2023-06-27,closed
233,ACC000233,CUST01176,BR013,savings,2024-11-01,active
234,ACC000234,CUST00465,BR013,credit,2023-10-16,active
235,ACC000235,CUST01069,BR008,savings,2024-03-12,closed
236,ACC000236,CUST00845,BR006,chequing,2024-06-10,active
237,ACC000237,CUST00968,BR013,chequing,2025-04-26,active
238,ACC000238,CUST00181,BR010,credit,2025-11-20,closed
239,ACC000239,CUST00972,BR004,savings,2023-06-19,active
240,ACC000240,CUST01579,BR012,chequing,2023-03-14,active
241,ACC000241,CUST00093,BR003,savings,2025-04-05,active
242,ACC000242,CUST00376,BR002,savings,2024-08-30,active
243,ACC000243,CUST01806,BR013,credit,2025-01-07,active
244,ACC000244,CUST01074,BR013,chequing,2024-11-21,closed
245,ACC000245,CUST00311,BR007,credit,2023-05-04,active
246,ACC000246,CUST00560,BR009,savings,2023-03-21,active
247,ACC000247,CUST00918,BR004,credit,2024-03-24,dormant
248,ACC000248,CUST00515,BR015,savings,2025-10-27,active
249,ACC000249,CUST00622,BR003,savings,2024-04-11,active
250,ACC000250,CUST01634,BR015,credit,2024-09-02,active
251,ACC000251,CUST00283,BR009,chequing,2024-11-08,active
252,ACC000252,CUST00913,BR014,savings,2024-07-20,active
253,ACC000253,CUST00806,BR006,savings,2024-11-18,active
254,ACC000254,CUST00746,BR007,chequing,2024-02-26,active
255,ACC000255,CUST01494,BR014,chequing,2023-03-11,active
256,ACC000256,CUST00683,BR015,savings,2023-08-08,active
257,ACC000257,CUST01289,BR012,savings,2023-02-26,active
258,ACC000258,CUST01229,BR002,chequing,2023-07-24,dormant
259,ACC000259,CUST00206,BR008,credit,2025-03-05,active
260,ACC000260,CUST01407,BR001,chequing,2024-11-03,active
261,ACC000261,CUST01443,BR008,credit,2025-03-07,active
262,ACC000262,CUST01440,BR003,chequing,2023-02-18,active
263,ACC000263,CUST01272,BR006,chequing,2024-10-07,active
264,ACC000264,CUST01910,BR005,credit,2023-06-20,active
265,ACC000265,CUST00002,BR015,chequing,2023-10-04,active
266,ACC000266,CUST01846,BR006,credit,2025-01-01,closed
267,ACC000267,CUST00122,BR001,chequing,2025-05-05,active
268,ACC000268,CUST01433,BR015,chequing,2023-06-11,active
269,ACC000269,CUST00691,BR004,credit,2024-01-10,closed
270,ACC000270,CUST00711,BR013,credit,2024-06-15,active
271,ACC000271,CUST01824,BR010,savings,2023-03-07,active
272,ACC000272,CUST00090,BR014,savings,2023-07-24,active
273,ACC000273,CUST01443,BR004,chequing,2025-08-07,active
274,ACC000274,CUST00102,BR015,savings,2025-01-19,active
275,ACC000275,CUST01871,BR004,credit,2023-05-15,active
276,ACC000276,CUST00805,BR005,credit,2024-03-18,dormant
277,ACC000277,CUST01583,BR012,chequing,2024-02-21,active
278,ACC000278,CUST01186,BR002,chequing,2024-07-22,active
279,ACC000279,CUST01921,BR001,chequing,2025-05-27,active
280,ACC000280,CUST01253,BR012,savings,2023-05-12,active
281,ACC000281,CUST00615,BR011,credit,2023-07-12,dormant
282,ACC000282,CUST01340,BR006,credit,2023-12-23,dormant
283,ACC000283,CUST00736,BR006,chequing,2025-02-04,active
284,ACC000284,CUST00698,BR003,chequing,2025-01-10,active
285,ACC000285,CUST00069,BR001,savings,2025-09-24,active
286,ACC000286,CUST01183,BR001,credit,2023-02-09,active
287,ACC000287,CUST00878,BR015,credit,2023-05-01,active
288,ACC000288,CUST00793,BR012,savings,2025-09-04,active
289,ACC000289,CUST01594,BR012,chequing,2025-09-07,active
290,ACC000290,CUST01423,BR011,chequing,2024-03-22,active
291,ACC000291,CUST01168,BR014,savings,2024-09-20,active
292,ACC000292,CUST01973,BR006,chequing,2023-02-12,active
293,ACC000293,CUST01006,BR008,savings,2023-11-18,active
294,ACC000294,CUST00017,BR004,chequing,2024-12-13,active
295,ACC000295,CUST00150,BR008,chequing,2025-02-16,active
296,ACC000296,CUST00267,BR015,savings,2024-01-12,active
297,ACC000297,CUST00941,BR009,savings,2024-01-12,active
298,ACC000298,CUST01286,BR003,credit,2023-11-03,active
299,ACC000299,CUST00454,BR005,savings,2023-07-15,active
300,ACC000300,CUST01510,BR013,chequing,2023-03-23,active
301,ACC000301,CUST01828,BR007,credit,2023-04-06,active
302,ACC000302,CUST00012,BR011,credit,2025-04-27,active
303,ACC000303,CUST00498,BR001,chequing,2023-08-27,active
304,ACC000304,CUST00805,BR008,chequing,2023-10-06,active
305,ACC000305,CUST00014,BR005,credit,2024-11-16,dormant
306,ACC000306,CUST01892,BR015,savings,2024-11-15,active
307,ACC000307,CUST01153,BR009,credit,2025-07-12,active
308,ACC000308,CUST01159,BR014,chequing,2023-06-29,active
309,ACC000309,CUST01510,BR010,savings,2024-09-30,active
310,ACC000310,CUST00096,BR004,chequing,2025-05-08,active
311,ACC000311,CUST01807,BR003,chequing,2023-10-17,active
312,ACC000312,CUST00725,BR009,chequing,2023-06-09,active
313,ACC000313,CUST00949,BR015,chequing,2023-09-16,active
314,ACC000314,CUST00912,BR002,chequing,2024-12-06,active
315,ACC000315,CUST00463,BR012,credit,2023-01-13,active
316,ACC000316,CUST00884,BR012,chequing,2023-07-22,active
317,ACC000317,CUST01246,BR012,credit,2023-12-17,active
318,ACC000318,CUST01858,BR015,credit,2023-09-12,active
319,ACC000319,CUST01864,BR008,credit,2023-01-09,active
320,ACC000320,CUST01159,BR002,savings,2023-08-06,active
321,ACC000321,CUST01031,BR007,chequing,2025-01-30,active
322,ACC000322,CUST01128,BR002,credit,2024-10-02,active
323,ACC000323,CUST00950,BR012,savings,2023-12-09,active
324,ACC000324,CUST00193,BR007,credit,2025-11-24,active
325,ACC000325,CUST00104,BR013,savings,2024-04-29,active
326,ACC000326,CUST01568,BR013,credit,2024-03-18,active
327,ACC000327,CUST00769,BR010,chequing,2025-11-07,closed
328,ACC000328,CUST00983,BR015,chequing,2025-11-08,active
329,ACC000329,CUST01970,BR015,savings,2023-04-20,active
330,ACC000330,CUST01053,BR003,chequing,2025-09-03,active
331,ACC000331,CUST00111,BR003,credit,2024-03-13,active
332,ACC000332,CUST01100,BR003,credit,2024-04-13,active
333,ACC000333,CUST01937,BR003,chequing,2024-05-31,active
334,ACC000334,CUST00571,BR008,savings,2024-03-08,active
335,ACC000335,CUST01894,BR012,credit,2023-08-13,active
336,ACC000336,CUST01995,BR006,credit,2024-02-06,active
337,ACC000337,CUST01379,BR003,credit,2023-01-27,active
338,ACC000338,CUST01299,BR004,chequing,2024-07-21,closed
339,ACC000339,CUST01426,BR003,chequing,2023-09-26,active
340,ACC000340,CUST00899,BR008,savings,2023-09-18,active
341,ACC000341,CUST00212,BR004,savings,2024-02-02,active
342,ACC000342,CUST01591,BR013,chequing,2025-10-27,active
343,ACC000343,CUST00688,BR015,chequing,2025-04-13,active
344,ACC000344,CUST00404,BR001,credit,2023-04-28,active
345,ACC000345,CUST01625,BR010,chequing,2025-06-20,active
346,ACC000346,CUST00729,BR007,credit,2023-07-16,active
347,ACC000347,CUST00460,BR003,chequing,2023-02-16,active
348,ACC000348,CUST01226,BR002,savings,2023-06-01,active
349,ACC000349,CUST00775,BR014,credit,2023-03-25,closed
350,ACC000350,CUST00326,BR010,credit,2025-12-23,active
351,ACC000351,CUST01934,BR013,chequing,2024-06-23,active
352,ACC000352,CUST01978,BR012,credit,2024-07-19,active
353,ACC000353,CUST00793,BR007,chequing,2023-11-05,active
354,ACC000354,CUST01642,BR014,chequing,2023-08-31,active
355,ACC000355,CUST00029,BR009,chequing,2025-01-21,active
356,ACC000356,CUST01813,BR006,savings,2025-03-16,active
357,ACC000357,CUST01543,BR015,chequing,2025-02-23,active
358,ACC000358,CUST00807,BR015,chequing,2023-06-22,active
359,ACC000359,CUST01647,BR007,savings,2025-01-10,active
360,ACC000360,CUST01191,BR005,savings,2024-09-07,active
361,ACC000361,CUST00904,BR007,savings,2024-02-07,active
362,ACC000362,CUST01239,BR013,chequing,2024-04-05,active
363,ACC000363,CUST00705,BR001,savings,2025-02-10,active
364,ACC000364,CUST00389,BR003,chequing,2025-02-28,active
365,ACC000365,CUST01807,BR014,chequing,2023-07-01,active
366,ACC000366,CUST00301,BR005,chequing,2025-04-21,active
367,ACC000367,CUST01884,BR014,credit,2024-12-04,closed
368,ACC000368,CUST01137,BR012,savings,2024-06-29,active
369,ACC000369,CUST00208,BR011,credit,2025-11-17,active
370,ACC000370,CUST01956,BR001,credit,2025-10-06,closed
371,ACC000371,CUST01217,BR011,credit,2023-07-20,active
372,ACC000372,CUST01906,BR007,chequing,2024-05-06,active
373,ACC000373,CUST01859,BR014,credit,2023-06-23,active
374,ACC000374,CUST01170,BR011,savings,2024-06-23,active
375,ACC000375,CUST01147,BR006,chequing,2023-10-02,active
376,ACC000376,CUST01972,BR005,savings,2024-01-18,closed
377,ACC000377,CUST01366,BR001,savings,2025-12-24,active
378,ACC000378,CUST00503,BR005,chequing,2023-03-13,active
379,ACC000379,CUST00494,BR002,chequing,2025-01-19,active
380,ACC000380,CUST01084,BR008,savings,2023-02-27,active
381,ACC000381,CUST01473,BR005,savings,2025-08-14,active
382,ACC000382,CUST00800,BR015,credit,2024-07-04,active
383,ACC000383,CUST01631,BR008,savings,2024-07-03,active
384,ACC000384,CUST01931,BR015,credit,2024-11-18,closed
385,ACC000385,CUST00739,BR004,savings,2025-01-29,active
386,ACC000386,CUST01756,BR005,savings,2025-03-02,closed
387,ACC000387,CUST01218,BR013,credit,2025-02-21,dormant
388,ACC000388,CUST00131,BR007,chequing,2024-07-28,active
389,ACC000389,CUST00363,BR006,savings,2025-01-27,active
390,ACC000390,CUST01429,BR015,chequing,2024-11-11,closed
391,ACC000391,CUST01919,BR010,savings,2025-11-06,active
392,ACC000392,CUST00700,BR003,savings,2023-10-20,active
393,ACC000393,CUST01926,BR006,credit,2025-02-19,active
394,ACC000394,CUST01730,BR008,chequing,2023-08-20,closed
395,ACC000395,CUST00491,BR001,savings,2024-07-19,active
396,ACC000396,CUST00754,BR013,credit,2023-09-01,active
397,ACC000397,CUST00789,BR002,savings,2023-04-18,dormant
398,ACC000398,CUST01954,BR005,credit,2024-02-05,active
399,ACC000399,CUST01838,BR003,savings,2023-08-27,active
400,ACC000400,CUST00649,BR015,savings,2024-03-13,active
401,ACC000401,CUST00115,BR008,credit,2025-04-25,active
402,ACC000402,CUST01578,BR008,chequing,2023-08-02,dormant
403,ACC000403,CUST01395,BR015,chequing,2023-03-03,active
404,ACC000404,CUST01406,BR012,chequing,2025-10-12,closed
405,ACC000405,CUST01684,BR006,chequing,2023-10-18,closed
406,ACC000406,CUST00163,BR006,credit,2025-07-03,active
407,ACC000407,CUST01910,BR009,savings,2024-10-13,active
408,ACC000408,CUST00743,BR014,credit,2024-07-26,active
409,ACC000409,CUST00361,BR007,credit,2025-08-01,active
410,ACC000410,CUST01729,BR011,credit,2025-10-17,active
411,ACC000411,CUST01019,BR004,credit,2023-12-02,closed
412,ACC000412,CUST01913,BR014,credit,2023-02-21,active
413,ACC000413,CUST00842,BR013,savings,2023-10-30,active
414,ACC000414,CUST00911,BR008,savings,2023-09-28,active
415,ACC000415,CUST00820,BR011,savings,2025-04-12,active
416,ACC000416,CUST00959,BR001,chequing,2024-07-24,closed
417,ACC000417,CUST01323,BR014,chequing,2025-01-01,active
418,ACC000418,CUST01667,BR008,credit,2023-05-09,active
419,ACC000419,CUST01918,BR006,savings,2025-11-29,active
420,ACC000420,CUST00094,BR001,chequing,2023-11-08,active
421,ACC000421,CUST01398,BR003,credit,2023-09-20,active
422,ACC000422,CUST00382,BR006,savings,2024-02-04,active
423,ACC000423,CUST00055,BR010,savings,2024-04-09,dormant
424,ACC000424,CUST01418,BR013,chequing,2024-03-21,active
425,ACC000425,CUST01084,BR013,credit,2023-06-27,active
426,ACC000426,CUST00337,BR015,chequing,2024-02-11,active
427,ACC000427,CUST00775,BR010,savings,2024-12-19,active
428,ACC000428,CUST01062,BR013,savings,2023-12-27,closed
429,ACC000429,CUST00055,BR010,credit,2024-01-17,active
430,ACC000430,CUST01293,BR014,savings,2024-05-19,active
431,ACC000431,CUST01473,BR006,credit,2024-12-22,active
432,ACC000432,CUST01761,BR011,credit,2024-03-12,closed
433,ACC000433,CUST00304,BR003,chequing,2025-06-25,active
434,ACC000434,CUST01262,BR004,credit,2023-12-23,active
435,ACC000435,CUST00745,BR014,savings,2024-03-30,active
436,ACC000436,CUST00462,BR003,chequing,2025-05-16,active
437,ACC000437,CUST01039,BR006,chequing,2025-08-19,active
438,ACC000438,CUST01859,BR001,credit,2025-07-29,active
439,ACC000439,CUST00384,BR007,credit,2025-10-16,active
440,ACC000440,CUST00248,BR013,credit,2023-11-21,active
441,ACC000441,CUST00410,BR007,chequing,2023-07-22,active
442,ACC000442,CUST00256,BR003,savings,2023-07-24,active
443,ACC000443,CUST01732,BR014,credit,2024-03-31,closed
444,ACC000444,CUST01144,BR011,credit,2024-01-10,active
445,ACC000445,CUST01974,BR014,savings,2025-06-09,closed
446,ACC000446,CUST01561,BR005,credit,2024-06-12,active
447,ACC000447,CUST00980,BR004,savings,2025-06-25,active
448,ACC000448,CUST00269,BR003,chequing,2024-03-19,dormant
449,ACC000449,CUST00313,BR003,chequing,2025-11-07,active
450,ACC000450,CUST00218,BR013,credit,2024-08-21,active
451,ACC000451,CUST00316,BR006,credit,2023-11-12,active
452,ACC000452,CUST01362,BR011,credit,2024-01-13,active
453,ACC000453,CUST01963,BR006,savings,2023-04-28,active
454,ACC000454,CUST01682,BR015,credit,2024-11-22,active
455,ACC000455,CUST01344,BR001,savings,2024-05-11,active
456,ACC000456,CUST01302,BR013,credit,2025-09-07,closed
